"logFC","logCPM","LR","PValue","FDR"
"Bra010821",6.6571653752552,6.04091752220739,153.155439153673,3.54243603240548e-35,8.51389076028333e-31
"Bra033034",-4.63989283603619,6.61169428833109,71.2607803386036,3.12996024937955e-17,3.7612732316794e-13
"Bra035334",-4.14245600817906,4.66533122919594,68.3472866181095,1.37093755976842e-16,1.09830377704914e-12
"Bra003598",-4.89364754572463,3.90012152056902,54.1612071230498,1.84697441916659e-13,1.10975457975624e-09
"Bra016182",7.71436005288245,6.330237454343,49.6140709894863,1.87166502932371e-12,8.99671946295322e-09
"Bra013164",4.09837292549211,9.32908856925254,47.9448310721253,4.38382294082905e-12,1.75601334266476e-08
"Bra009406",6.19965278351231,6.59324187212703,47.3909806752651,5.81496275292718e-12,1.99652592576931e-08
"Bra033856",-3.23482141588893,5.71691214326427,47.0478129002718,6.92759209514369e-12,2.08122185518354e-08
"Bra011196",5.01771140888451,3.3540810720163,46.5173585663307,9.08104233086339e-12,2.4250419042219e-08
"Bra041036",-3.28073097539767,7.16270132537955,45.8485989828318,1.27754463184923e-11,3.07045076818644e-08
"Bra011170",6.89884507891945,2.14543388711482,43.1146649511293,5.16238566377661e-11,1.12793433675643e-07
"Bra037664",-3.0221481321599,3.87045563287743,42.7308411092488,6.28140918546035e-11,1.25806156969462e-07
"Bra002697",2.71320507235778,4.85859762382308,41.6829930373353,1.07338641196943e-10,1.98444377117486e-07
"Bra025547",-3.34428884176736,5.72855184928854,41.2339216179131,1.35058230226416e-10,2.31856393232977e-07
"Bra016316",-3.43320418369061,3.10181347073635,40.4446766550898,2.02262777771376e-10,3.24078906730484e-07
"Bra019741",3.41104924478036,7.82648353676309,39.7130688090811,2.94150577634242e-10,4.41850936428836e-07
"Bra020500",4.96036223763563,9.289275144855,38.0244177847096,6.98647755289203e-10,9.87723538271806e-07
"Bra005176",5.57520869330076,5.99994450117409,37.0958259337699,1.1246420566935e-09,1.50164706614286e-06
"Bra036334",3.42679792956944,8.77693600175246,36.8883427188946,1.2509164447013e-09,1.58234346483953e-06
"Bra013340",-2.19322424831854,4.68936575375638,35.7759150912657,2.21367672137612e-09,2.55255362729673e-06
"Bra011670",-1.91345083768666,5.17829317003151,35.7613181975618,2.23032479708876e-09,2.55255362729673e-06
"Bra038908",7.38616064129682,5.73110466223635,35.6013831355975,2.42115570879235e-09,2.64500255932343e-06
"Bra027181",2.64983830849024,8.22510668091763,35.3293649696869,2.78402643667057e-09,2.90918658169306e-06
"Bra018722",-2.53212008556402,3.95274161807227,34.9533382175675,3.37701927563325e-09,3.33013810155488e-06
"Bra002896",2.37139545229167,4.5382154017126,34.9038308025581,3.46398654151918e-09,3.33013810155488e-06
"Bra010292",3.65795399033072,6.4182249893646,34.5134677361556,4.23312241490586e-09,3.80059947486274e-06
"Bra021913",-3.91895952418751,2.47362594658377,34.4967547968563,4.26962577270925e-09,3.80059947486274e-06
"Bra011195",2.1614581750713,5.19174909318241,34.0934924286072,5.25266372819553e-09,4.50866143012326e-06
"Bra007907_Bra007908_Bra007909",-2.52481478675023,4.61704540997473,33.9176768669927,5.74939532711201e-09,4.7648609410969e-06
"Bra027700",-3.10952120497387,3.11457244372825,33.4695827138735,7.23872532838191e-09,5.79918415141103e-06
"Bra036607",-3.35753154740544,4.35088546814849,33.2137937828891,8.25627801674159e-09,6.40101244691507e-06
"Bra002515",-3.89204975184156,3.61434580435575,32.9073154513778,9.66588569987653e-09,7.25968427846352e-06
"Bra031658",2.88175468336246,3.44757520984983,32.4586132500297,1.21758103966131e-08,8.8676796082485e-06
"Bra004810",-2.76318123483296,8.74792588276371,31.9399270855769,1.59014812364558e-08,1.10027669002471e-05
"Bra005070",-3.35833435414258,3.72886455606753,31.9251387541473,1.60230024760193e-08,1.10027669002471e-05
"Bra035502",2.69584353036693,6.39059219455302,31.8248993754895,1.68715949995674e-08,1.12636642838779e-05
"Bra004892",1.78621912547529,6.83520155698906,31.3481793646827,2.15660837560224e-08,1.40086285673579e-05
"Bra018386",-3.0358067923475,4.28216032681929,31.1735095186807,2.35964238765796e-08,1.49241171434136e-05
"Bra040840",3.70873104413086,3.38016475350071,30.215036878035,3.8669970627081e-08,2.33581243033721e-05
"Bra024269",8.49354653434073,2.78460753825598,30.204774176182,3.88751340656938e-08,2.33581243033721e-05
"Bra040801",-1.74740576978488,5.06775740674736,30.1353299402469,4.02923564741363e-08,2.36191828170583e-05
"Bra017219",-2.97987495885466,7.60957333902222,30.0392473812252,4.23389710278934e-08,2.42279721353426e-05
"Bra022378",-3.29616054621435,2.68283572076429,29.9337307002094,4.47067377444435e-08,2.44674043772042e-05
"Bra006092",7.13481216845439,4.15013614007844,29.9299735423988,4.47934506364727e-08,2.44674043772042e-05
"Bra032375",3.47208221682202,3.63068978183932,29.590735451126,5.33593701601679e-08,2.8498646720655e-05
"Bra024197",-2.49414460564217,4.73999000702496,29.1089355021957,6.84206877231379e-08,3.57483219290847e-05
"Bra023827",-2.90346920745101,3.33440179239031,29.0261130962854,7.14091959781582e-08,3.65159280029586e-05
"Bra021506",1.89547619848329,7.05388070930932,28.9754827146013,7.33001696447558e-08,3.67020057758763e-05
"Bra036155",3.95790021314193,7.08691605085204,28.8773587693116,7.71090031393454e-08,3.71318613942474e-05
"Bra013676_Bra013677",-2.85549346712249,4.59449267571692,28.8738551444649,7.72486090418728e-08,3.71318613942474e-05
"Bra036852",4.94985784714566,3.17577316184524,28.6756636296423,8.55723841742052e-08,4.03264055145656e-05
"Bra005071",-3.31641352924717,3.20413440291624,28.480424925641,9.46506185676563e-08,4.28338193565094e-05
"Bra014819",3.02770202940318,6.69987423276825,28.4751957642428,9.49066014964978e-08,4.28338193565094e-05
"Bra013682",-3.71460451592157,2.31886156484187,28.4481888782646,9.62397539007867e-08,4.28338193565094e-05
"Bra013628",-2.15178673626918,4.69190888819274,28.2355507143642,1.07413477520366e-07,4.67803115366694e-05
"Bra037283",-2.92447046859491,5.48288290456459,28.2071770702552,1.08999644089768e-07,4.67803115366694e-05
"Bra016610",-3.99435669383154,2.09468766284754,27.8927665876581,1.28228239838295e-07,5.35847275984066e-05
"Bra011606",-2.15688993582235,6.17373359677626,27.8764637003532,1.29313231285162e-07,5.35847275984066e-05
"Bra004130",-2.4524351938453,3.15124749487593,27.2237453302162,1.81219289647602e-07,7.38207526676349e-05
"Bra036217",-2.72407125963033,4.93702987231604,26.7762902919377,2.28422791275577e-07,9.11733830771389e-05
"Bra015896",-1.62410517925733,5.92496214135221,26.7512288578447,2.31404525576495e-07,9.11733830771389e-05
"Bra022342",-5.01524508864742,3.68049334939286,26.6320348999631,2.46128731438451e-07,9.45937638367226e-05
"Bra005227",-2.59686862211879,4.37024222750742,26.6177335258213,2.47957357148769e-07,9.45937638367226e-05
"Bra031068",3.26036277027752,3.30974829909371,26.5678706336306,2.54440178010382e-07,9.55502380984612e-05
"Bra006273",4.02597075245666,6.08983964223038,26.5023911955682,2.63212102139317e-07,9.73236871202513e-05
"Bra020646",3.96864298668547,8.05951519479779,26.2815766072447,2.95090283940583e-07,0.000107457574003454
"Bra017113",3.27266814452343,7.04490456748526,25.8550432307073,3.68041835092876e-07,0.000132022648725704
"Bra034676",-3.18007884977459,3.54228646638719,25.6129290127976,4.1723442694736e-07,0.000147467826724307
"Bra006683",-2.41251553479593,5.78103363166881,25.4599477174376,4.51662740518127e-07,0.000157322642110328
"Bra025028",-2.24533294754907,5.12623625746394,25.3798604740414,4.70807761699981e-07,0.000160828007196165
"Bra024102",3.67281543159987,2.84832988914157,25.3623139115823,4.75109782430211e-07,0.000160828007196165
"Bra003687",2.35989541402441,7.00323190994039,25.3262263632883,4.84081913287705e-07,0.000161589231999399
"Bra011132",-1.37290076063806,5.64871813650294,25.1255018410841,5.37177478035307e-07,0.000176856486398638
"Bra030671",-2.74924149448919,5.0890939243161,24.8459790664482,6.20984409810652e-07,0.000201685666289043
"Bra035634",4.31660820414515,8.20876482675869,24.8112387878396,6.3227740569521e-07,0.000202615402246382
"Bra015961",-2.75508225988926,2.87383689956212,24.6810360125921,6.76465411253374e-07,0.000213923285448205
"Bra023460",1.93045929313947,6.16793771256048,24.6068431153737,7.03016411830434e-07,0.000219432421323801
"Bra029614",3.23864601181816,6.44916800310748,24.4703528190523,7.54621162967165e-07,0.000232520064496831
"Bra009136",4.95542493617995,1.07944279330862,24.2863707175664,8.30244500437502e-07,0.000252583497766012
"Bra012492",2.36202839079765,5.04920607114066,24.1670420480463,8.83310370607407e-07,0.00026536851808973
"Bra003126",-2.75058208147462,4.9480670428917,23.898041566563,1.01575042927153e-06,0.000301389454532246
"Bra008302",5.13829353678286,2.31949571425498,23.836879081823,1.0485416325879e-06,0.00030343804484684
"Bra006291",3.3907544930631,4.85639024886352,23.8305983817009,1.05196845520041e-06,0.00030343804484684
"Bra030155",2.5853356671368,6.81529596080463,23.8149946229829,1.06053073841785e-06,0.00030343804484684
"Bra000111",1.92104096220716,7.34241098243394,23.5995511359237,1.18615182125233e-06,0.000333703221638415
"Bra007141",2.52968238382135,6.24929970253028,23.5867353142505,1.19407826665989e-06,0.000333703221638415
"Bra004735",4.36929511394119,2.93574112850111,23.484439850299,1.25928127439479e-06,0.000346908912052207
"Bra008561",3.50971044384755,4.17286002164754,23.4678306919177,1.27019989434111e-06,0.000346908912052207
"Bra011759",4.0507523756874,7.17495453720077,23.293933122298,1.39037883852935e-06,0.000369555223545892
"Bra017474",-3.57167899609814,4.22438911836813,23.292117718044,1.3916918069395e-06,0.000369555223545892
"Bra033648",2.28451797513216,5.65405997753117,23.2817033206389,1.39924795467572e-06,0.000369555223545892
"Bra032105",-3.35243088387414,1.99408307172792,23.1641490048713,1.48744703884534e-06,0.000388579370995748
"Bra019307",-1.88742714810913,6.64024822927676,22.9862226656479,1.63166561137273e-06,0.000421671519394969
"Bra017855",2.44953349467258,5.60332885931834,22.9435797685491,1.66826455319248e-06,0.000426543300759872
"Bra035917",2.23316625453383,5.97596813948183,22.5771807402288,2.01868130441667e-06,0.00051070512074053
"Bra040320",3.47014331747175,1.72877938073218,22.4098179496573,2.20245267971139e-06,0.000551393205251912
"Bra000292",4.98512846236479,4.49636472033554,22.2829406107986,2.35287618881899e-06,0.00058078552139068
"Bra018935",-2.75979274052296,3.74008378960253,22.2704865779799,2.36818594891764e-06,0.00058078552139068
"Bra038432",4.2637472938283,4.50216556072756,22.1546204320054,2.51549832837591e-06,0.000610681685092795
"Bra004749",2.39348044503192,7.05741201324883,22.1297257229869,2.54833039960109e-06,0.000612465728240126
"Bra022802_Bra022803",-2.48963827488687,7.70440075166608,22.0208309448111,2.69707358454276e-06,0.00064179669832575
"Bra020472",-1.8497739824057,5.80244358591351,21.8821697522507,2.89915231273745e-06,0.000683119869454234
"Bra007864",2.59882871315263,7.47860363805109,21.8088950105589,3.01200518774259e-06,0.000695976164592233
"Bra035732",-3.14616695569372,3.57956472165906,21.8045738475979,3.01879633692336e-06,0.000695976164592233
"Bra012899",4.50102265201497,3.62562380511217,21.7907733893166,3.04058822011253e-06,0.000695976164592233
"Bra100459",3.59556117107777,5.10252493115027,21.7712550173962,3.07167883842324e-06,0.000696459709459095
"Bra017619",4.20168644240313,3.29330558785029,21.6898416508494,3.20483913587961e-06,0.000719203858151262
"Bra039004",1.6427821913687,4.53957716398253,21.6737485920545,3.23183892320614e-06,0.000719203858151262
"Bra013115",2.63636986727348,5.47706672969839,21.4809595505481,3.57359418364287e-06,0.000787961124859382
"Bra035117",-2.19653842035169,5.3918766941693,21.4273626426143,3.6748911490264e-06,0.000802930307960914
"Bra027257",5.04132372298408,5.09508587125479,21.2528755228799,4.02506086103022e-06,0.000871516330936939
"Bra005743",2.74995632246124,2.30813882364283,21.2041356681907,4.12872653983999e-06,0.000885980479093877
"Bra005564",-1.72511631657627,5.5356355068323,21.1590964844398,4.22690170617573e-06,0.00089902084607281
"Bra006850",3.96632320558697,7.49753015624569,21.1283107897298,4.29535215598022e-06,0.000905565734358145
"Bra028478",2.35061126599564,6.30602277497335,20.9577241127348,4.6953089013876e-06,0.000981278731616952
"Bra019537",3.84235753543115,2.76268505367373,20.9373619434781,4.74548171516382e-06,0.000983214720191786
"Bra033331",1.8669970179443,4.35637706205831,20.7927485334297,5.11763684554908e-06,0.00105125883714467
"Bra017224",2.59667894685329,2.65056964175514,20.6673777695307,5.46390174276942e-06,0.00110997254054145
"Bra013678",-2.13488683724927,6.51856763020374,20.6562226164472,5.49582809038998e-06,0.00110997254054145
"Bra005033",7.81520088447567,2.26762531649696,20.578582325881,5.72328455721893e-06,0.001146278508735
"Bra024311",2.09804468142152,8.74921170468925,20.484723713387,6.01090811234655e-06,0.00117879744817986
"Bra000090",2.76355898138978,5.98855770912496,20.4797825744195,6.02644570147535e-06,0.00117879744817986
"Bra027925",-2.00131999189742,6.57288210948903,20.477768538487,6.0327904687577e-06,0.00117879744817986
"Bra009773",2.97150120665633,4.34062540626044,20.346901174877,6.4597615930141e-06,0.00125204766231049
"Bra011249",-1.77947464155535,5.36156489067513,20.3057559180291,6.60017309282188e-06,0.00126902848090305
"Bra033980",2.38705455833765,5.26365985050934,20.1974582478709,6.98456790227753e-06,0.00132239641265313
"Bra018785",-3.95664494628856,2.52007121869558,20.1965782665995,6.98778165960506e-06,0.00132239641265313
"Bra033526",2.33302121454581,5.70086411246566,20.1806613325599,7.04616841579806e-06,0.00132302821644758
"Bra018311",-2.2274084455846,8.13460320882878,20.0823795493931,7.41769427445249e-06,0.0013819911952883
"Bra027681",6.95250855443334,1.64559502616249,20.0477255099991,7.55333153145128e-06,0.00139643669251462
"Bra033063",-2.71320375677029,2.73750444645033,20.0184607294227,7.66981243332777e-06,0.00140714711467633
"Bra028893",2.26437298954638,6.1190289570841,19.8575071717202,8.3434427897446e-06,0.00151151219250962
"Bra014225",5.75490009259667,1.21896284463016,19.852700821867,8.364447100099e-06,0.00151151219250962
"Bra001697",2.19067033458757,4.28481387243633,19.7905290662802,8.64097825471442e-06,0.00154983038338661
"Bra004491",-4.08445692619526,2.2448901297782,19.6564089503942,9.26918950581814e-06,0.00164790564951445
"Bra007904",-5.33571224473535,4.65365983800935,19.6341042780955,9.3780239303874e-06,0.00164790564951445
"Bra003007",-3.53415598504809,8.44451608581016,19.6309562964207,9.39348730895729e-06,0.00164790564951445
"Bra016266",1.47514224904467,5.80075751053997,19.6074865776418,9.50958404972494e-06,0.00165489056238774
"Bra020301",-2.48060333773674,4.01033865751833,19.5951839147959,9.57101556844036e-06,0.00165489056238774
"Bra038585",-6.83307968877838,1.28744969696178,19.522284131591,9.9432936703065e-06,0.00170697942908676
"Bra003699",9.44962346132141,2.68207491682024,19.4256512387092,1.04592778506681e-05,0.00178282470824793
"Bra020697",2.95540296628617,4.65105950110239,19.3729200082538,1.07520958231423e-05,0.00181983007755916
"Bra031737",2.51738459669477,4.18132678700247,19.2979947371945,1.11823728602237e-05,0.00187942062463369
"Bra101146",-2.59126975505847,3.34090125245325,19.060173235478,1.26660748572164e-05,0.00211400307721068
